Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
5.0,日照日报官博,08月17日 07:48,//weibo.com/6890796357/M1pp2hK31?refer_flag=1001030103_,【#欧洲66万公顷土地遭山火破坏##欧洲山火过火面积破同期纪录#】欧洲在近期的高温热浪天气中受影响十分严重，法国、西班牙等国家今年夏季接连发生山火。当地时间15日，欧盟委员会建立的欧洲森林火灾信息系统公布的数据显示，截至13日，欧洲今年已有近66万公顷土地遭山火毁坏，创2006年开始有相关记录以来的同期新高。 @央视财经 L央视财经的微博视频 收起d,1.0,0.0,1.0,176,
48.0,上游新闻,08月17日 17:48,//weibo.com/1420157965/M1tkS1kXb?refer_flag=1001030103_,【重庆9区县最高气温打破当地历史纪录 因旱需生活救助30万人】8月17日，重庆市政府新闻办举行2022年全市高温抗旱工作专题新闻发布会，对今年全市高温抗旱工作的相关情况进行介绍。7月以来 平均降水量较常年偏少近6成7月以来，重庆市气温显著偏高、降水明显偏少，9个区县最高气温打破当地历史高温纪录，累计降雨较多年同期偏少6成，尤其是8月以来较多年同期偏少9成。重庆市应急管理局党委委员、政治部主任邹瑜介绍，7月1日至今，重庆天气主要呈现出“三个显著”特点∶一是平均气温显著偏高。全市平均气温为30.5℃，较常年显著偏高2.6℃，与2006年并列成为1961年以来最高。二是降水显著偏少。全市平均降水量为102.0毫米，较常年显著偏少近6成，为1961年以来同期第二少，仅次于1992年的98.8毫米。三是高温干旱强度显著偏强。35℃以上高温日数32.3天，为1961年以来同期第三多，仅次于2006年同期（33.9天），极端最高气温为44.5℃与2006年相同。根据监测，67.9％的土壤水分观测站耕作层已达中到重旱。受高温天气影响，目前已导致全市33个区县、585个乡镇（街道）、88.1万人受灾，因旱需生活救助30万人，其中饮水困难人口达到26.9万人（主要集中在高山乡镇和偏远地区）；8个区县66条河流断流，10个区县25座水库干涸；26个区县水利工程蓄水量低于70%，其中奉节、开州、彭水、武隆、城口、巫山、巫溪7个区县低于50%。“预计高温至少还将持续一周。”邹瑜表示，全市大部地区日最高气温将达38～42℃，局地可达43～45℃，预计全市平均高温累计日数可能超过38天，较常年同期偏多18天，超过有气象纪录以来同期最高值。发动90万人找水送水 解决群众饮水问题面对严峻的高温天气，全力做好抗旱工作至关重要。邹瑜介绍，目前市防汛抗旱指挥部正全力抓实统筹推进、每日研判、督导指导、送水保饮、高温防火、物资调拨“六项措施”，积极应对当前高温旱情。在送水保饮上，全市组织基层干部群众近90万人找水送水，群众饮水问题得到较好的保障。合川、荣昌、永川、大足、黔江、云阳等区县根据缺水情况，寻找水源、落实人员、备齐工具，通过人工送水、管道输水等方式，解决人畜饮水困难。在高温防火上，市森林防灭火指挥部发布森林火险红色预警，召开调度会议，进行专项巡查。市航空救援总队每日执行空中巡护，市、区两级应急救援队及林区林场守护人员每日开展地毯式隐患排查。在物资调拨上。全市先后出动救援队伍9.8万人次，救援装备、车辆27万台次，调拨大型抗旱储水设备180套，划拨抗旱资金1000万，区县饮水困难的问题基本得到解决。有作业时机将适时开展人工增雨作业在今后一段时间，重庆将如何做好包括抗旱在内的防灾减灾工作？邹瑜亦做出了解答。“保障人畜饮水，全力做好抗旱工作。”邹瑜说，市防汛抗旱指挥部将继续坚持日研判、日报告，动态掌握干旱情况，包括范围、人口及水源情况，精准组织缺水地区应急送水，确保不发生因旱亡人事件。“市级大型送水车始终保持临战状态，一旦区县有需求，立即开展应急送水。“邹瑜补充道。针对市民们普遍关注的人工增雨作业，邹瑜表示目前266个人工影响天气作业点、107门高炮、96台火箭和近600名作业人员已经进入临战状态，密切监测天气。“一旦有作业时机将适时开展人工增雨降温作业，缓解高温干旱。”全市将以不发生较大山火为底线，切实做好森林防火工作。管住火源不进山，严格设关守卡；管住农事、祭祀用火，加强巡护、见烟就查、见火就罚；尤其是重点防止老人、小孩等进山用火。此外，全市将以坚决防控重特大事故为核心目标，严格“三查三治”，扎实开展安全大检查、百日大整治专项行动。严查干部履职，严查部门执法，严查企业管理。O上游新闻 收起d,0.0,0.0,4.0,1555,
76.0,烟台日报传媒集团,08月17日 22:59,//weibo.com/5542843172/M1vn3qTZs?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（总台记者伍黎明 杨洋） ???,0.0,0.0,0.0,102,
151.0,926梁溪之声广播,08月17日 22:53,//weibo.com/2288595114/M1vkpavzE?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】#涪陵山火# 记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ???,1.0,1.0,3.0,84,
195.0,贵阳交通广播,08月17日 22:50,//weibo.com/1750349224/M1vj9odzR?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（via人民日报 记者刘新吾）  L人民日报的微博视频 ???,0.0,0.0,1.0,86,
231.0,直播南京官方版,08月17日 22:47,//weibo.com/1807431510/M1vi45kVH?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。据了解，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视新闻）L央视新闻的微博视频 ???,0.0,1.0,1.0,98,
341.0,新闻晨报,08月17日 22:39,//weibo.com/1314608344/M1veGhidr?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）L人民日报的微博视频 ?,3.0,1.0,6.0,73,
353.0,北京头条,08月17日 22:38,//weibo.com/1644948230/M1veihRLr?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火# 火光笼罩夜空】据人民日报消息，8月17日晚，重庆涪陵北山坪突发山火，后续情况正在了解中。  L青流视频的微博视频 ?,2.0,4.0,5.0,74,
409.0,重庆青年报,08月17日 22:35,//weibo.com/2138697305/M1vdf1YvZ?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ???,0.0,0.0,0.0,77,
418.0,成都商报,08月17日 22:35,//weibo.com/1700648435/M1vd3ukjD?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火#  消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#涪陵山火##涪陵山火最新情况#（央视新闻）L红星新闻的微博视频 ?,1.0,4.0,10.0,137,
431.0,西安晚报,08月17日 22:34,//weibo.com/1975995305/M1vcRBMhI?refer_flag=1001030103_,【愿平安！#重庆涪陵北山坪发生山火#】8月17日晚，重庆涪陵北山坪突发山火，后续情况正在了解中。 L人民日报的微博视频 ???,0.0,0.0,1.0,63,
520.0,郑州晚报,08月17日 22:28,//weibo.com/2034347300/M1vadBTj0?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。@人民日报 L人民日报的微博视频 ?,0.0,1.0,3.0,73,
521.0,北京日报都视频,08月17日 22:27,//weibo.com/2145917613/M1vaass0T?refer_flag=1001030103_,【突发！#重庆涪陵突发山火# 】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。愿平安！#涪陵山火# #都视频# L北京日报都视频的微博视频 ?,0.0,0.0,3.0,87,
536.0,北京青年报,08月17日 22:26,//weibo.com/1749990115/M1v9xr2Zu?refer_flag=1001030103_,【#重庆涪陵发生山火暂无人员伤亡#】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#重庆涪陵突发山火# #涪陵山火#（央视新闻） L青流视频的微博视频 ?,1.0,5.0,9.0,118,
548.0,北京日报,08月17日 22:25,//weibo.com/1893892941/M1v99sJgd?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ???,5.0,4.0,12.0,77,
553.0,北京晚报,08月17日 22:24,//weibo.com/1703371307/M1v8RtrUu?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中#】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。#平安归来刷屏涪陵消防评论区#（央视新闻） L央视新闻的微博视频 ?,6.0,19.0,124.0,119,
